 	"TCGA-A6-2670-01A-02D-0820-05"	"TCGA-A6-2672-01A-01D-0825-05"	"TCGA-A6-2674-01A-02D-0820-05"	"TCGA-A6-2676-01A-01D-0825-05"	"TCGA-A6-2677-01A-01D-0820-05"	"TCGA-A6-2678-01A-01D-0820-05"	"TCGA-A6-2683-01A-01D-0820-05"	"TCGA-A6-3807-01A-01D-1020-05"	"TCGA-A6-3808-01A-01D-1020-05"	"TCGA-A6-3809-01A-01D-1020-05"	"TCGA-A6-3810-01A-01D-1020-05"	"TCGA-AA-3514-01A-02D-0820-05"	"TCGA-AA-3516-01A-02D-0825-05"	"TCGA-AA-3517-01A-01D-0820-05"	"TCGA-AA-3518-01A-02D-0825-05"	"TCGA-AA-3524-01A-02D-0820-05"	"TCGA-AA-3525-01A-02D-0825-05"	"TCGA-AA-3526-01A-02D-0820-05"	"TCGA-AA-3534-01A-01D-0820-05"	"TCGA-AA-3538-01A-01D-0820-05"	"TCGA-AA-3543-01A-01D-0825-05"	"TCGA-AA-3552-01A-01D-0820-05"	"TCGA-AA-3555-01A-01D-0820-05"	"TCGA-AA-3558-01A-01D-0820-05"	"TCGA-AA-3561-01A-01D-0820-05"	"TCGA-AA-3562-01A-02D-0820-05"	"TCGA-AA-3666-01A-02D-0904-05"	"TCGA-AA-3667-01A-01D-0904-05"	"TCGA-AA-3672-01A-01D-0904-05"	"TCGA-AA-3675-01A-02D-1110-05"	"TCGA-AA-3679-01A-02D-0904-05"	"TCGA-AA-3681-01A-01D-0904-05"	"TCGA-AA-3685-01A-02D-0904-05"	"TCGA-AA-3693-01A-01D-0904-05"	"TCGA-AA-3695-01A-01D-0904-05"	"TCGA-AA-3696-01A-01D-0904-05"	"TCGA-AA-3710-01A-01D-1020-05"	"TCGA-AA-3715-01A-01D-0904-05"	"TCGA-AA-3811-01A-01D-1020-05"	"TCGA-AA-3812-01A-01D-0904-05"	"TCGA-AA-3818-01A-01D-0904-05"	"TCGA-AA-3821-01A-01D-1020-05"	"TCGA-AA-3831-01A-01D-0904-05"	"TCGA-AA-3837-01A-01D-0904-05"	"TCGA-AA-3842-01A-01D-1020-05"	"TCGA-AA-3844-01A-01D-1020-05"	"TCGA-AA-3846-01A-01D-1020-05"	"TCGA-AA-3848-01A-01D-0904-05"	"TCGA-AA-3854-01A-01D-0904-05"	"TCGA-AA-3855-01A-01D-1020-05"	"TCGA-AA-3856-01A-01D-0904-05"	"TCGA-AA-3860-01A-02D-0904-05"	"TCGA-AA-3861-01A-01D-1020-05"	"TCGA-AA-3862-01A-01D-1020-05"	"TCGA-AA-3864-01A-01D-1020-05"	"TCGA-AA-3866-01A-01D-1020-05"	"TCGA-AA-3869-01A-01D-1020-05"	"TCGA-AA-3877-01A-01D-1020-05"	"TCGA-AA-3939-01A-01D-1020-05"	"TCGA-AA-3941-01A-01D-1020-05"	"TCGA-AA-3947-01A-01D-1020-05"	"TCGA-AA-3949-01A-01D-1020-05"	"TCGA-AA-3950-01A-02D-1020-05"	"TCGA-AA-3952-01A-01D-1020-05"	"TCGA-AA-3966-01A-01D-1110-05"	"TCGA-AA-3968-01A-01D-1020-05"	"TCGA-AA-3975-01A-01D-1020-05"	"TCGA-AA-3976-01A-01D-1020-05"	"TCGA-AA-3977-01A-01D-1020-05"	"TCGA-AA-3979-01A-01D-1020-05"	"TCGA-AA-3986-01A-02D-1020-05"	"TCGA-AA-3989-01A-01D-1020-05"	"TCGA-AA-3994-01A-01D-1110-05"	"TCGA-AA-A00D-01A-01D-A004-05"	"TCGA-AA-A00J-01A-02D-A004-05"	"TCGA-AA-A00L-01A-01D-A004-05"	"TCGA-AA-A00O-01A-02D-A00B-05"	"TCGA-AA-A00Q-01A-01D-A004-05"	"TCGA-AA-A00U-01A-01D-A004-05"	"TCGA-AA-A00W-01A-01D-A004-05"	"TCGA-AA-A010-01A-01D-A00B-05"	"TCGA-AA-A01D-01A-01D-A00B-05"	"TCGA-AA-A01F-01A-01D-A004-05"	"TCGA-AA-A01G-01A-01D-A004-05"	"TCGA-AA-A024-01A-02D-A00B-05"	"TCGA-AA-A029-01A-01D-A00B-05"	"TCGA-AA-A02E-01A-01D-A00B-05"	"TCGA-AA-A02F-01A-01D-A00B-05"	"TCGA-AA-A02H-01A-01D-A00B-05"	"TCGA-AA-A02J-01A-01D-A00B-05"	"TCGA-AY-4070-01A-01D-1110-05"	"TCGA-AY-4071-01A-01D-1110-05"
SIPA1L1	1.903876	0.809829	1.978393	1.189218	1.275641	0.854317	0.676255	-0.801281	-1.004776	-0.071169	-1.190420	1.102088	0.776341	-0.144287	1.387400	1.520898	1.003895	1.323665	0.736892	1.405361	1.339735	1.565389	1.416631	-0.322738	1.306491	1.351577	-1.481534	-0.983726	0.694016	-0.527984	-0.980197	-0.999885	-0.827148	-1.325928	-0.774672	-0.997591	-1.204183	-1.438635	0.850515	-0.827305	-1.107882	-0.854850	-0.720360	-0.212670	-0.967861	0.508932	-0.850360	-0.217947	-1.397229	-0.855079	-0.398315	-1.201403	-0.974838	-1.509362	-0.331263	0.125832	-0.034710	-1.546981	-0.618329	-0.037368	-0.299039	-0.109487	0.166718	-1.561359	-0.785594	-0.136186	-1.451274	-0.192027	0.009214	-0.491248	0.557662	-0.910712	-0.520746	1.921866	1.034030	-0.079070	0.018263	1.713910	1.888908	1.172783	0.185869	-0.778898	1.374550	1.297326	0.422164	0.092944	0.145138	-0.464135	-0.828682	0.171254	-0.273793	-0.653265	
SPOCK3	-1.441595	0.950070	1.753432	-0.893974	-1.831612	-1.401908	-1.518108	0.686463	0.909139	-0.037846	0.184895	-1.235949	1.293747	3.570005	-1.259730	-1.258274	-1.563192	-1.120941	-1.224134	0.258706	-0.461469	-0.465310	-0.986820	-0.678710	-1.855252	-0.679138	0.025279	0.197346	1.769180	-0.103102	-0.149731	0.893560	0.255034	-0.435009	0.423693	-0.009965	1.682310	1.489395	0.110542	0.934211	0.194301	0.973230	0.229238	0.427191	0.561188	-1.175341	-0.048923	0.062060	0.374784	0.107809	0.472420	0.826293	0.966884	1.294266	-0.446265	0.317426	0.812671	2.710896	-0.967330	-0.752354	0.712600	0.406660	1.362450	0.701174	0.841821	-0.690528	0.036792	-0.056773	0.255099	-0.481254	-0.326554	0.256580	0.775532	-0.551717	-0.377130	-0.559654	-0.017547	-0.887442	-1.665767	-1.303162	-0.263925	0.882828	-1.635747	-0.864193	-0.613376	-0.898615	-1.060441	0.222304	0.372199	0.286999	0.936231	0.488880	
MYCT1	1.481116	-0.323023	-0.771814	-1.245794	-1.488252	-0.946014	-2.046043	0.617338	0.793403	-0.132479	0.544110	-0.007416	2.559360	1.500601	-0.618510	-1.408662	-0.370889	-1.321979	0.242043	-0.797857	1.453622	-0.469849	-0.971027	-1.248590	-0.251677	-1.374152	-0.227315	0.729291	0.198136	-0.045538	0.830010	0.447427	1.484953	2.104721	0.213273	0.333617	0.171946	0.605158	2.284506	0.228637	0.726102	0.639035	0.057311	0.898409	0.964218	-0.332278	-0.669059	-0.356032	0.162547	1.260978	0.194613	3.014620	0.616024	0.941920	0.154289	0.147925	-0.542043	0.668639	0.447275	-0.549733	0.363949	0.740009	-0.003459	0.742136	1.194313	-0.296644	0.021346	-0.671822	-0.570544	-1.383811	-0.318347	-0.334492	-0.084671	-0.629209	-0.682418	-1.517662	-0.174022	-1.210802	-1.753375	-1.657736	-0.009417	1.035608	-1.951897	-0.954760	-0.414283	-0.398419	-1.476071	-0.755216	0.424503	-0.147337	1.594670	0.078734	
ADAM7	1.652684	0.484701	1.208814	-0.999649	-1.186512	-0.741545	-1.385580	0.339496	0.518393	-0.190065	-0.681063	-1.119933	-0.967089	0.772935	1.466112	-1.656095	-0.609521	-1.527939	-1.441093	0.068726	-0.697546	0.340394	1.269074	-1.465679	-0.273281	-0.039951	-0.079862	0.077719	0.014124	1.273563	-0.129882	1.055223	1.804302	-0.579324	-0.878998	-0.422956	0.996180	0.315491	-1.375649	0.222484	-0.177622	0.348951	-0.127734	-0.264768	0.309494	-1.254826	-0.903327	-0.269803	-0.171891	-0.333980	-0.044530	0.232367	0.409627	0.312047	2.274667	0.582033	-0.046879	0.358000	-0.066774	-1.495730	-0.525932	1.311851	1.593769	0.581034	0.627501	-0.245484	0.473975	-0.410548	-0.268588	-0.885230	-0.225194	0.648612	1.888837	0.254206	3.617965	-0.936240	-0.523055	-0.832145	-0.817526	3.175467	-0.691996	0.957400	-0.720060	-0.717153	0.168748	-1.548941	-0.990096	-0.919115	0.116221	-0.095624	0.425205	0.411608	
LRIT3	1.300123	-0.113014	-0.109440	1.630718	2.123115	1.309856	1.393395	-0.259448	-0.295773	0.236946	0.170111	-0.218380	-0.054244	0.933095	1.913024	1.237438	1.073802	1.546286	-1.742296	-0.129829	0.384543	0.386929	0.305865	1.555272	1.596430	-2.103212	-0.721735	-0.089319	-1.063545	0.191531	0.006324	-0.380858	-0.363048	-2.092578	-0.219182	-2.864891	0.248448	-0.530717	-0.617250	-0.025326	-0.447764	-0.198885	-0.032540	-0.627894	-0.629347	1.018566	0.973857	0.401098	-2.238366	-0.597442	-0.424296	-0.394874	-0.439647	-1.096996	0.206988	0.773924	-0.740851	-0.160008	0.149681	-2.444581	-0.055061	0.337266	-0.253923	-0.217592	-0.400841	0.336927	0.236791	-0.314193	0.497954	0.800453	-0.332677	-0.486892	-0.068783	1.203678	1.788011	0.952139	-1.997613	1.598498	0.513084	1.463855	0.804239	-0.289892	-0.806889	-0.276611	-1.321626	0.161972	-1.733971	-0.171937	-0.272219	0.523675	0.116178	-0.933788	
SGCZ	-1.033511	0.472524	2.367999	0.010263	-1.336801	-0.529800	-1.891248	0.937124	1.018199	0.075224	0.118621	-1.569906	-0.193829	-1.306606	-0.266961	-1.296826	-0.468332	-1.551644	-1.748663	0.401495	-0.999314	0.162856	-0.945320	-1.730045	-2.065883	0.276586	0.329707	0.707847	0.161166	-0.863337	0.992152	1.125782	1.490215	-0.121865	-0.249116	-0.337575	0.984590	1.103184	-0.873117	0.849280	0.350733	0.922115	0.492545	0.095912	0.742141	-0.985926	-0.661514	0.578506	0.712948	-0.052819	0.897835	0.152771	0.780814	1.327582	-0.763314	0.992170	0.577014	1.428126	-0.094049	-0.861524	0.930880	1.882646	2.096537	1.303158	0.908687	-0.980578	0.591686	0.692166	-0.352164	-0.667065	0.238223	-0.200390	-0.128398	0.271054	0.545124	-1.475102	-0.399952	-0.727406	-0.827461	-1.878671	0.486111	1.252371	-2.627883	0.245800	-0.509489	-1.218319	-0.948027	0.605521	0.917153	0.690845	0.651930	-0.206169	
GFRAL	-0.815707	3.258125	1.571938	0.102845	-1.553457	-1.346960	-1.053875	-0.063376	0.259516	0.098124	0.000282	-1.073541	2.080884	2.541071	1.182740	-1.606372	-0.142949	-0.880209	-1.507576	0.177722	0.192869	-0.228752	-0.794934	-1.129025	-2.098929	-1.585729	-0.444687	-0.363208	-0.285334	0.173695	0.007831	0.156531	-0.621750	0.156531	0.117932	-0.030772	1.143819	1.340473	2.079598	0.155964	0.223882	0.299324	0.211527	0.208920	0.009289	-0.960277	1.602209	-0.354490	-0.304507	-0.137745	0.889443	0.197735	0.148242	-0.347693	-0.583446	-0.070448	-0.393570	0.465860	0.014521	-0.509519	0.369007	0.671966	1.183744	0.046031	0.473987	-0.776012	0.653006	0.371491	-0.079398	-0.906696	-0.192098	-0.311667	0.339757	0.125922	3.088015	-0.730183	-0.112392	-1.482058	-1.454700	0.591321	0.478045	0.921626	-1.975848	0.664014	-0.866355	-0.099851	-1.279829	-0.174728	0.049789	-0.808588	1.686680	-0.244604	
ADH1B	-1.282404	-0.381277	0.878557	-0.747293	-1.010731	-1.111737	-1.164369	2.005652	1.324591	0.385930	-0.138478	-1.226966	-0.020207	-0.381096	-1.067283	-1.456460	-0.899368	-1.190636	-1.439045	-0.953331	-0.884602	-0.545812	-0.844603	-0.614695	-1.382363	-1.231781	0.483066	1.884613	-0.472981	0.053808	1.408318	0.776975	0.320765	-0.410403	1.097200	0.918020	1.477884	2.246034	-0.775631	0.453436	0.739433	1.317615	0.392007	-0.016713	1.080368	-0.779707	0.096251	0.794585	0.336241	1.183500	0.634267	0.714923	1.296532	-0.004728	-0.474350	-0.029571	0.304941	1.862067	-0.120882	-0.283521	1.636125	0.324759	0.896304	2.317631	1.398521	-0.574296	0.322975	0.631381	-0.368034	-0.559728	-1.005456	0.032374	1.085100	-0.904005	-1.470593	-0.666426	-0.150626	-1.327074	-1.478578	-1.341619	-0.208924	1.058303	-1.686855	-1.560101	-0.807349	-0.497734	-0.745381	0.655679	1.124916	-0.300625	0.549495	0.495289	
TEX15	-1.131364	-0.237022	1.986332	-0.455582	-1.867633	-1.360522	-1.747808	0.728932	0.893949	0.439992	1.085900	-1.750126	-0.678956	-0.618385	-1.633521	-1.446624	-1.264197	-1.743218	-1.540867	0.348639	-1.169948	0.125804	-0.972165	-1.306709	0.788406	-0.463721	0.827371	-0.051211	-0.564589	0.349566	0.638377	1.472476	1.261514	0.874289	-0.228457	-0.772060	1.074381	1.658898	0.782347	0.718304	0.675372	0.760002	-0.181478	0.208076	0.732589	-0.598275	-0.560210	-0.049272	-0.651964	-0.372108	-0.219581	1.516778	0.783395	1.059903	-0.253694	0.091005	0.806909	1.314749	0.729660	-1.028378	0.321048	0.851684	1.774083	1.910864	1.073181	-0.380944	1.497283	0.340598	-0.528599	0.404811	-0.633594	0.585988	1.152347	0.655988	-0.946932	-0.780938	0.111538	-0.859348	-0.950328	-1.450463	0.059773	0.549159	-2.033528	-0.784213	-0.546109	-0.791184	-0.719930	-0.966465	0.423194	-0.015849	2.057227	0.805386	
SPTA1	-0.789322	-0.719912	-1.130109	-0.345799	-1.653474	-1.129424	-1.340817	1.576598	1.403652	-0.499430	-0.162696	-0.923533	0.311452	-0.963506	-1.526770	-1.002742	-0.768872	-0.859405	-0.835215	-1.003067	-0.862831	-1.239662	-1.669337	-0.281350	-1.757144	-0.815963	-0.288312	1.102233	-0.197120	-0.110397	0.678324	1.628063	1.215268	0.832847	1.415841	0.871086	0.804155	1.023890	-1.160559	2.741174	1.176446	1.286284	0.652500	1.235716	1.195824	-0.845602	-0.542245	0.161610	0.684962	0.273342	0.395495	0.147214	1.271519	0.798886	-0.050133	-0.314221	-0.125395	1.814348	0.730668	-0.097807	1.081781	0.135457	-0.075773	1.456270	1.941970	-0.458924	0.828849	0.250027	-0.352687	-0.455920	-0.903642	0.143327	0.509489	-1.073160	-1.024735	-0.860541	0.104369	-0.706508	-1.670978	-1.542287	-0.053653	1.493946	-1.775357	-0.783442	-0.371093	0.056428	-0.737204	0.559768	0.993593	0.376915	0.963973	0.532515	
ABCC9	-0.992125	0.170676	0.381168	-0.651183	-0.193271	-0.481792	-1.693325	0.674676	0.377758	-0.929483	-0.001435	0.391517	0.195858	2.371656	-1.778099	0.693141	-0.851863	2.178749	0.003337	0.547294	-1.110034	-0.954271	-1.259139	-1.469058	-1.798331	-1.220270	-0.940404	0.953809	-0.975644	-0.226214	0.146074	-0.389913	1.202965	1.881783	-0.688226	-0.650522	0.154409	0.389572	0.173369	2.156100	-0.269517	0.129344	0.254482	0.705618	0.056563	-1.391026	-0.079441	-1.306059	-0.278446	-0.000953	-0.352089	1.780456	0.176821	0.475904	-0.465749	0.426216	0.598201	0.045655	-0.028866	-1.264335	-0.058502	0.213494	0.245339	0.447161	0.068426	-0.881257	1.656157	-0.584524	-0.771392	0.079743	-1.004209	-0.070964	-0.113138	-0.926463	-1.029052	0.492159	1.696863	-0.798343	1.766160	2.264124	1.757704	0.437212	-1.686895	0.531002	-0.957099	-0.629123	-1.021812	0.572732	-0.312120	2.195507	1.496251	-0.077226	
GPR82	1.259644	0.404182	-0.211731	-0.837508	0.598480	-1.472729	-0.605103	0.392874	0.318630	-0.227601	-0.116793	0.064799	-0.533007	-0.016379	-1.334460	2.896942	-1.287383	-0.716381	-1.547333	-0.645182	-1.184170	0.110331	-1.113420	1.718496	-1.898699	-0.545283	0.150812	0.492949	1.352005	0.528451	0.419696	0.337808	2.064129	-0.509538	-0.760801	-0.957593	0.944601	0.664672	0.529894	-0.581388	-0.691135	0.337503	0.209171	-0.829736	0.445967	-1.135941	-0.281897	0.616585	-0.899462	0.740106	0.636740	-0.391191	0.306450	0.557666	-0.213276	1.487994	0.257795	1.163677	1.492367	-1.011310	0.617553	-0.393389	0.894905	1.354289	0.246741	0.051033	0.394891	2.036671	-0.564571	-0.072112	0.966665	0.079675	0.796732	-1.207691	-1.014052	-0.272377	0.696556	-1.455308	-0.856391	-0.771097	2.282325	-0.324976	-1.925344	-2.080543	-0.851371	-0.771809	-2.014844	0.384394	0.525058	1.398716	1.057334	-0.152653	
KLRK1	0.852570	0.037345	-0.822233	0.957770	-0.333484	1.653072	1.277519	-1.081188	-0.748201	1.017443	0.294483	-2.483230	0.999585	0.869425	1.553840	-0.140552	1.627536	1.190691	0.447478	-1.121765	0.855090	-0.928138	1.844285	0.508225	1.458439	-3.075093	0.095271	-0.705420	1.021858	-0.164945	-0.467594	0.196510	-0.593289	0.202100	-0.242974	-0.658754	-1.413234	0.088019	1.421774	-0.096743	-0.620827	-0.515225	-1.239687	0.228738	-1.368044	0.870240	-0.024645	-0.152064	-1.120826	-0.534165	-1.308126	0.558816	-0.782920	-0.702066	1.123321	-0.262309	0.457715	-0.296350	0.495518	1.330901	-0.310370	0.425732	-0.544215	-0.889277	-0.993203	0.852624	-1.529750	0.352990	0.357432	0.641054	-0.077093	-0.357007	-0.914843	0.847546	1.782782	0.258974	-0.658598	0.665131	0.202672	1.858475	-2.158610	-0.755875	1.791208	1.494216	-0.161882	-1.079921	-0.076058	0.342855	-0.506189	-1.091989	-0.622819	-0.677481	
NRG4	-1.198085	-0.354084	-1.421638	-0.005427	-1.435169	-0.954154	-0.773358	0.679704	0.960026	-0.748006	0.298268	-1.137154	-1.109142	-1.020406	-1.568867	-1.135646	-0.209361	-1.548240	-1.590769	-1.093637	-1.141442	-1.162107	-1.560175	-0.364247	-1.381847	-1.287240	0.520914	1.279849	-0.225181	0.801221	1.185447	0.840694	0.704466	0.762536	0.999256	1.573704	0.188674	1.256307	2.319563	0.794328	1.152659	0.916340	0.718718	0.174640	1.071305	-0.422838	-0.398346	0.798976	0.883021	0.267366	0.713961	0.732805	0.955765	0.614073	-0.458126	0.214414	0.623697	1.854322	0.969631	-0.203790	0.790139	0.041354	-0.652010	1.516449	1.201336	-0.215811	1.817374	0.175385	-0.499111	0.167251	-0.649307	0.532107	1.235757	-1.461379	-0.357454	-1.039110	-0.120440	-1.512529	-1.256499	-1.482179	0.037836	0.541151	-1.551560	-1.632360	-0.245802	-0.386306	-0.519754	0.087643	1.447013	-0.069739	0.745576	1.396810	
ADH1C	-1.135969	0.949376	1.157314	-0.435362	-1.459280	-0.836176	-0.739398	1.171988	1.548465	0.297929	0.957425	-1.071224	0.702774	-1.650555	-1.442477	-1.170060	-1.594163	-1.062694	-1.331375	-0.607487	-1.124665	-0.207585	-1.037568	-0.688863	-1.751994	-1.611955	0.227531	0.980207	0.388998	0.516223	0.574921	0.679114	0.079194	-0.333834	1.096878	0.412986	1.054329	1.048338	0.663740	0.050010	0.576602	0.917959	0.085905	0.648081	0.863959	-0.298405	1.306533	0.079801	-0.323705	0.244784	0.771704	1.079236	0.950488	0.826183	0.041104	-0.221210	0.775588	2.518020	-0.033275	-1.021204	0.628280	0.845948	0.411609	1.527478	2.171656	-0.585242	0.470393	-0.133829	-0.659264	-0.319307	0.163410	0.137899	1.045774	-0.554648	-1.448477	-0.493164	-0.385153	-1.234898	-1.613541	-1.880740	0.728706	0.017307	-1.836991	-1.322087	-1.070990	-0.990487	-1.201978	0.711170	1.491897	-0.053920	1.368243	1.011743	
FAM172A	1.173682	-2.876771	-0.602284	-2.077044	-0.925107	0.755836	0.274523	0.043021	0.152120	1.061643	-1.395667	-0.567096	0.071225	0.563642	1.635705	0.858325	1.663973	2.259209	-0.593075	-0.157923	1.531790	-1.158699	2.522976	0.061002	0.746310	-0.446834	-1.161674	0.025506	0.556707	0.437427	0.044708	-0.240651	-0.073772	0.471648	0.260463	0.045985	1.526253	0.529107	-0.541677	-0.110296	-0.207082	0.098674	-0.627295	-0.331961	-0.382614	0.085235	-0.362138	0.524647	-1.872825	-2.952636	0.740600	-0.180995	0.004934	0.287242	-1.314196	0.894352	0.295600	0.105131	-0.256799	-0.332416	0.301271	-0.126577	0.646619	-0.144543	-1.714377	0.104286	-0.202929	-0.068003	-0.448602	-0.229264	-0.100787	-1.195156	-0.306357	1.248236	2.234124	-0.211084	-1.536955	1.278333	1.282938	1.515733	-0.014910	-0.118621	-1.243716	-0.128050	-1.057638	1.301861	-0.775802	-0.087256	-0.046373	1.070551	-1.345334	-0.441288	
MYPN	1.234064	-0.426678	0.814218	-0.464810	-0.118814	1.466213	-0.840580	-1.075145	-0.547406	0.691644	-0.026713	1.104676	0.538962	0.939918	1.729336	0.384537	1.551280	1.929997	1.266663	1.365254	1.618494	-0.504143	2.046451	0.849622	1.968048	-1.006131	-1.032059	-1.016911	-0.471606	-0.855620	-1.856877	-0.298618	-1.217015	-0.065432	-1.140116	-1.477370	0.032821	-0.191002	-0.486631	-0.535327	-0.591414	-0.499820	-0.059572	-0.233907	-0.816130	0.961499	0.194184	-0.275983	-0.659692	-1.405365	-1.236371	0.487207	-0.500122	-0.375109	0.194196	-0.017982	0.095445	-0.664051	0.993240	0.004313	-0.358568	0.437229	0.209101	0.166918	-1.269013	0.650617	0.134379	-2.815698	0.044407	-2.242005	-0.214482	-0.447916	-0.470154	1.661374	0.407983	-0.313954	0.891692	1.222752	-0.598360	1.791460	0.502722	-0.239264	1.797289	1.347179	-0.265846	-0.392963	-1.366974	-0.807205	-1.751026	0.497323	-0.028360	0.347605	
RXFP2	-1.039070	0.648101	0.693277	1.979981	-1.592648	-1.155988	-1.167829	1.771459	0.538720	0.332109	-0.725482	-0.259588	-0.159446	1.970731	0.031085	-0.046220	-1.089462	-1.016818	-1.669197	-0.737112	2.068356	-0.634821	0.775043	-1.905368	0.772499	-0.381775	-1.593965	-0.016309	-0.501284	-0.158633	-0.807699	-0.020196	0.947636	-1.029626	0.193669	-0.013836	1.082477	0.687203	-0.178793	1.858661	-0.460236	0.550368	-0.126640	1.741975	0.109184	-1.326271	-1.074661	-0.629889	-0.296568	-0.394183	-0.424808	0.325894	0.580714	0.754487	0.141955	-0.578198	-0.633821	0.946909	0.097926	-0.394425	0.572838	0.207607	1.518157	1.289983	0.475396	-0.092816	-1.190980	-0.386342	-0.203531	-1.127080	-0.426516	0.835968	-0.171515	-0.834706	-0.418894	0.863810	1.546666	1.368677	-1.083988	1.603486	2.851759	0.614940	-2.077369	-0.716623	-0.462981	0.577803	-1.671816	-1.003656	-0.528111	-0.043193	0.935686	-0.182217	
TMPRSS11B	-0.325503	2.761634	1.261686	1.501743	-1.429068	-0.989929	-1.789483	-0.015588	0.091331	0.281496	0.443711	-1.504324	1.690750	1.760475	0.316049	-1.444407	-0.064175	-0.240034	-1.157643	-1.241440	0.840791	-0.284093	2.690897	-1.234772	-1.771397	-0.077096	1.847881	-0.231987	1.033768	-0.210725	-0.743495	-0.217432	0.474036	-0.999424	-0.230620	0.018317	0.560040	1.275328	1.228980	0.470819	0.368659	0.046977	0.205026	-0.167189	-0.209199	-0.587142	0.691848	-0.670668	0.578429	-0.108129	0.324846	0.874710	-0.028768	-0.325244	-0.387895	0.006771	-0.079554	0.353080	-0.702191	-1.246212	0.263744	0.654927	1.343620	0.918573	0.257874	-0.422307	-0.657154	-0.777073	-1.037490	-0.909003	-0.186638	-0.564543	0.793991	-0.360670	3.041129	-1.040525	1.125819	-0.640377	-0.846596	-1.645587	-0.642800	1.427180	-1.497460	-1.041083	-0.647937	-0.127952	-0.827974	-0.127732	-0.142252	-0.694799	1.484275	0.241574	
HAO2	1.010253	2.001810	0.250636	1.472810	1.357475	1.618272	-0.043692	-1.037325	-1.069069	0.133319	0.142853	0.496064	1.431403	-0.006870	1.651317	1.717490	1.160679	1.633620	0.792390	0.902706	1.608347	-0.917219	1.524796	0.139908	1.037148	0.981332	-0.293142	-1.203086	-0.567026	0.601100	-0.827935	-1.068921	-0.688763	-0.373503	-0.559134	-0.868541	-2.368423	-0.649756	0.654850	-0.637569	-1.350264	-0.995664	-1.312959	-0.550532	-0.865223	0.783666	-0.159716	-0.615574	-0.846944	-1.067442	-1.082691	-1.152743	-1.017078	-0.693492	0.343684	-0.435782	-0.316343	-1.210161	-1.074212	-0.274148	-0.342114	0.307283	-0.043140	0.155092	-0.586669	0.681061	-0.467949	0.075679	0.261337	0.521815	-1.155559	-0.543576	-0.409416	1.316131	1.831855	-2.877391	0.385367	0.925253	1.371798	1.074679	-1.693885	-0.818846	1.426099	0.736893	0.225759	0.162698	0.248347	0.705555	-0.906415	-0.116017	0.425121	-0.123828	
KCTD1	-0.461359	-1.109880	1.090718	-0.720694	1.259755	-1.071704	-1.477435	0.498191	0.400749	-0.411197	0.297968	-0.678048	-0.215669	1.910472	-1.632299	-0.589171	1.160526	0.575919	0.131354	0.614061	1.026836	-0.010509	1.396679	-1.337029	0.955333	-0.794133	-0.147619	-0.027670	-0.832564	-0.787480	0.245222	-1.218282	0.239544	-0.739831	-0.535588	-1.133875	0.430319	0.566745	-0.987958	0.877860	-0.898896	0.353588	-0.985551	-0.107999	0.067311	1.922584	0.042147	-0.735008	-0.903127	-0.316935	-0.309786	2.607888	0.332205	1.288903	-0.948593	-0.156420	-0.202231	2.575480	1.251545	-1.165462	0.211815	0.095516	0.471470	2.472208	0.461163	-0.674123	0.287141	1.110206	-0.958424	-1.151314	-0.471722	-0.014741	-0.094452	0.083019	0.999477	-1.436710	0.192680	1.199309	-1.049251	-1.155728	1.052388	0.791763	-1.813642	-1.090504	0.436744	-1.477965	-1.296919	0.274209	0.046811	-0.097895	2.416394	-0.288817	
HCRTR1	0.754838	1.105012	1.576140	1.838945	0.814523	-1.118695	0.847761	-0.791145	-0.547159	0.294535	-1.166622	1.097168	1.008578	-0.916221	1.774125	1.275658	1.504748	1.511002	1.389438	1.562404	1.403704	0.233720	1.322300	0.643526	1.614852	0.442008	-2.539553	0.209492	-0.194666	-3.108162	-0.296706	-0.065554	-0.158415	0.028357	-0.762414	-1.531716	-0.515066	-0.778431	0.754214	-0.066557	-0.655652	-0.683923	-0.013568	-0.386392	-0.613539	-0.277024	0.727967	-1.673972	0.149537	-0.276095	-0.268499	-0.036752	-0.616632	0.256407	-0.542598	-1.182056	-0.688413	-0.588744	-0.423335	0.011827	-0.401401	0.032555	0.150399	-0.508723	-1.186368	-1.028190	-1.103464	-0.716245	-0.562787	0.510935	-0.121677	-0.567785	-0.953383	1.630763	1.303379	1.097145	-0.098392	1.821873	-1.184541	1.046131	0.196632	-0.274941	1.338650	1.184191	-0.369532	-0.222669	-2.131276	-0.384862	-0.629681	0.030732	-0.577677	0.011703	
